?,Wordform in Mòoré (high tones marked),Morph. breakdown (high tones marked),LaTex Spelling (with breakdown),Gloss,Latex Gloss,POS (webonary categories),Spelling variants,Teo/Pacchiaroti spelling,Link of SIL Spelling,SIL spelling,Tonal Pattern in SIL,FLEX Spelling,Recording,Translation / Meaning,Source(s) & Page #,Questions,Examples/Notes,
,a,a,a,pm,\pm{},,,,,,,,,definitizer,Peterson 76,,Analyzed in detail by Teo 2016,Tone is high after low and non-automatic downstep after high.
,wã,wã,w\~a,as/that,as/that,dem,,,https://www.webonary.org/moore?s=w%C3%A3&search=Search&key=&tax=-1&search_options_set=1&match_whole_words=1&displayAdvancedSearchName=0&lang=en,wã,,,,definitizer,Peterson 77,,Analyzed in detail by Teo 2017,Tone is high after low and non-automatic downstep after high.
,ã́nd',ã́nd',\high{\~{a}}nd,who,who,pron.wh,"and, ãnd, hann, ã́nd",,,,,,,,,"Is ""hann"" really a spelling variant or a phonologically different wordform?",,
,ã́nda,ã́nda,\high{\~{a}}nda,who,who,pron.wh,"anda, ãnda, anna, andã",,https://www.webonary.org/moore/g8bbfa0c8-6200-473c-baa2-d7d4057bb624/?lang=en,ãnda,á,,,,,,,
,b,b,b,3pl,3\pl{},pron,,,https://www.webonary.org/moore/gc0f32189-261b-4538-809f-f034b69d4b4e/?lang=en,b,,,,they,SIL 7,,,
,baa,baa,baa,even,even,adv,baa,,https://www.webonary.org/moore/g9af5a8b2-5d2f-471f-ad17-b71ee106eb25/?lang=en,baa ,,,,even,SIL 7,,,
,balá,balá,bal\'a,only,only,adv,bala,,https://www.webonary.org/moore/g03eebf93-813f-4269-aa9c-e11bf183005a/?lang=en#g635754398068548670bala?lang=en,bala,à-á,,,"only, merely",SIL 14,,,
,bala,bala,bala,because,because,cnj,,,https://www.webonary.org/moore/g1e839c55-3259-45d4-85d0-3fdeec78c800/?lang=en,bala,à,,,"because, so, therefore",SIL 14,,,
,barind,barind,barind,banana,banana,n,,,,,,,,,,,,
,barinda,barinda,barinda,banana,banana,n,,,,,,,,banana,,,,
,banán,banán,ban\'an,banana,banana,n,"banaan, banan",,,,,,,,,,,
,banánde,banánde,ban\'ande,banana,banana,n,"banande, banãnda, ban\~anda",,https://www.webonary.org/moore/g79ba0b3c-c23f-4905-8e16-fbaf30392c5c/?lang=en,banande,à-á-è,,,banana,SIL 16,,,
,bamb,bamb,bamb,banana,banana,n,,,,,,,,,,,Yam rata bamb b wanna? (How many bananas do you need?),
,basda,basda,basda,allow,allow,v,,,,,,,,,,,,
,basdamẽ,basda-mẽ,basda-m\~e,allow,allow,v,,,,,,,,,,,,
,bédr,béd-r,b\'ed-r,big-cl,big-\cl{},adj,"bedr, bed",,,,,,,,,,,
